symbol,id,issue_share,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,charter_capital
CMN,68836,4800000, - Tháng 04/2004: Xí Nghiệp Chế Biến Lương Thực Thực Phẩm COLUSA  - MILIKET được thành lập trên cở sở sáp nhập Xí nghiệp Chế biến Lương Thực Thực Phẩm Colusa và Xí nghiệp Lương Thực Thực Phẩm Miliket;  - Ngày 13/04/2006: Bộ Nông nghiệp và Phát triển Nông thôn ban hành Quyết định số 1078/QĐ/ BNN-ĐMDN về việc chuyển Xí nghiệp COLUSA – MILIKET thành công ty cổ phần;  - Ngày 09/06/2006: Bán đấu giá cổ phần lần đầu ra công chúng (IPO) tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) với mức giá đấu thành công bình quân là 15.051 đồng/cổ phần;  - Ngày 23/08/2006: Chính thức hoạt động dưới hình thức công ty cổ phần với vốn điều lệ 48 tỷ đồng theo Giấy chứng nhận dăng ký kinh doanh số 4103005179 cấp lần đầu bởi Sở Kế Hoạch và Đầu Tư Thành phố Hồ Chí Minh;  - Năm 2012: Trở thành công ty đại chúng;  - Ngày 10/07/2017: Giao dịch trên thị trường UPCOM;,"Công ty Cổ phần Lương thực Thực phẩm Colusa  - Miliket (CMN) có tiền thân là Xí Nghiệp Chế Biến Lương Thực Thực Phẩm COLUSA  - MILIKE, được thành lập vào năm 2004 trên cơ sở hợp nhất Xí nghiệp Lương thực Thực phẩm Colusa và Xí nghiệp Lương thực Thực phẩm Miliket. Công ty tiến hành cổ phần hóa và chuyển sang hoạt động theo mô hình công ty cổ phần năm 2006. CMN hoạt động sản xuất chính trong lĩnh vực sản xuất, chế biến, kinh doanh các mặt hàng lương thực, thực phẩm, hàng công nghệ phẩm, bách hóa, hương liệu, gia vị và sản xuất thùng carton, bao bì, đóng gói các loại. Các sản phẩm chính của Công ty là mì ăn liền, miến, bún, phở, cháo ăn liền và các mặt hàng gia vị như nước tương, tương ớt, bột canh. Công ty có mạng lưới phân phối rộng khắp cả nước với trên 200 nhà phân phối. Sản phẩm Colusa-Miliket cũng được xuất khẩu sang nhiều nước trên thế giới như: Pháp, Úc, Mỹ, Đức, Nga, Ba Lan, Lào, Campuchia. CMN được giao dịch trên thị trường UPCOM từ tháng 07/2017.",Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,4800000,48000000000
PLP,73074,90000000," - Ngày 18/11/2008: Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê được thành lập với vốn điều lệ 100 tỷ đồng theo Giấy chứng nhận đăng ký kinh doanh số 0103018538 được Sở Kế hoạch và Đầu tư Thành phố Hà Nội;  - Tháng 10/2009: Được UBND Tỉnh Nghệ An cấp Giấy phép khai thác mỏ khoáng sản tại khu vực Thung Hung, xã châu Tiến, huyện Quỳ Hợp, Nghệ An, thời hạn cấp phép là 5 năm;  - Năm 2010: Thành lập Chi nhánh Nghệ An tại Mỏ Thung Hung;  - Tháng 04/2014: Đầu tư xây dựng Xưởng khai thác đá với công suất 100 tấn/giờ và Xưởng tuyển đá chíp với công suất 30 tấn/giờ tại Mỏ Thung Hung;  - Tháng 09/2014: Nhà máy sản xuất đá CaCO3 tại Quỳ Hợp Nghệ An đi vào hoạt động với sản lượng 199.680 tấn/năm;  - Tháng 10/2014: Được Ban quản lý KKT Hải phòng cấp Giấy chứng nhận đầu tư Dự Án “NHÀ MÁY SẢN XUẤT BỘT ĐÁ SIÊU MỊN “ tại KCN Minh Phương Đình Vũ – Hải Phòng với diện tích20.000 m2đất, công suất 108.000 tấn/năm;  - Tháng 12/2014: Được Ban quản lý KKT Hải phòng cấp Giấy chứng nhận đầu tư điều chỉnh Dự án “NHÀ MÁY SẢN XUẤT BỘT ĐÁ SIÊU MỊN& PHỤ GIA NGÀNH NHỰA” tại KCN Minh Phương Đình Vũ – Hải Phòng với quy mô sản xuất bột đá siêu mịn công suất 108.000 tấn/ năm và 96.000 tấn phụ gia ngành nhựa/năm;  - Tháng 09/2015: Hoàn thành việc xây dựng Nhà máy giai đoạn 1 đưa 04 dây chuyền sản xuất bột đá siêu mịn CaCO3 đi vào hoạt động. Gia hạn giấy phép khai thác tại mỏ đá Thung Hung, Quỳ Hợp, Nghệ An với thời hạn khai thác là 22 năm tính từ tháng 10/2015.  - Năm 2016: Hoàn thành lắp đặt và đi vào vận hành 04 dây chuyền sản xuất hạt nhựa phụ gia CaCO3 Filler Masterbatch đi vào hoạt động;  - Ngày 05/05/2017: Tăng vốn điều lệ lên 150 tỷ đồng;  - Ngày 11/08/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 21/08/2017: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 23/05/2019: Tăng vốn điều lệ lên 250 tỷ đồng;  - Ngày 01/10/2020: Tăng vốn điều lệ lên 400 tỷ đồng;  - Ngày 10/03/2022: Tăng vốn điều lệ lên 600 tỷ đồng;  - Ngày 21/09/2022: Tăng vốn điều lệ lên 700 tỷ đồng;  - Ngày 11/12/2025: Tăng vốn điều lệ lên 900 tỷ đồng;","Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê (PLP) được thành lập vào năm 2008. Công ty hoạt động trong lĩnh vực khai thác đá, sản xuất và kinh doanh bột đá siêu mịn và phụ gia ngành nhựa. PLP đang là chủ sở hữu giấy phép khai thác tại mỏ đá trắng Thung Hung, xã Châu Tiến, huyện Quỳ Hợp, tỉnh Nghệ An với tổng trữ lượng khai thác bao gồm: 1.407.649 m3 đá hoa làm vật liệu xây dựng thông thường, 120.462 m3 đá hoa trắng làm ốp lát các loại và 168.536 m3 đá hoa trắng làm bột CaCO3. Công ty đang quản lý vận hành 04 dây chuyền sản xuất hạt nhựa thuộc Nhà máy sản xuất hạt nhựa tại Hải Phòng với công suất thiết kế 4.500 tấn/tháng. Ngày 21/08/2017, PLP chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).",Hóa chất,Hóa chất,"Nhựa, cao su & sợi",90000000,900000000000
TOP,75302,25350000," - 1990: Tiền thân là hợp tác xã nông nghiệp kinh doanh vật tư và giống cây trồng nông nghiệp;  - Tháng 03, 2013: Công ty tiến hành cổ phần hóa và hoạt động theo mô hình công ty cổ phần với vốn điều lệ ban đầu 3 tỷ đồng;  - Ngày 23/01/2015: Tăng vốn điều lệ lên 39 tỷ đồng.  - Ngày 23/07/2015: Chính thức giao dịch trên thị trường UPCOM.  - Năm 2017: Tăng vốn điều lệ lên 253.5 tỷ đồng.","Công ty Cổ phần phân phối Top One (TOP), tiền thân là hợp tác xã nông nghiệp kinh doanh vật tư và giống cây trồng nông nghiệp, được thành lập năm 1990. Năm 2003, Chính thức cổ phần hóa với số vốn điều lệ ban đầu là 3 tỷ đồng. Hoạt động sản xuất của công ty là (i) Phân phối các sản phẩm Trung Nguyên, trà Kim Anh, Lipton, nước Tribeco và (ii) Bán buôn đồ uống, thực phẩm. Công ty chủ yếu phân phối sản phẩm trên địa bàn Hà Nội và Quảng Ninh, thông qua các đại lý cấp 2 và các cửa hàng bán lẻ. Công ty là đại lý cấp 1 phân phối sản phẩm đồ uống Tribeco, cà phê Trung Nguyên, trà Kim Anh, bánh Leibiniz. Mạng lưới phân phối: mở rộng toàn miền Bắc. Riêng đối vớ mặt hàng Bò Úc được phân phối tại các đại lý lớn và nhà hàng lớn tại Hà Nội. Ngày 23/07/2015, TOP chính thức giao dịch trên thị trường UPCOM.",Bán lẻ,Bán lẻ,Bán lẻ phức hợp,25350000,253500000000
PEG,72984,231898919, - Ngày 12/10/1981: Tiền thân là Công ty Nhập khẩu Thiết bị và Kỹ thuật dầu khí (PETECHIM) được thành lập theo Quyết định số 1140 BNgT/TCCB của Bộ Ngoại Thương (nay là Bộ Công Thương);  - Năm 1989: Đổi tên thành Công ty Xuất nhập khẩu dầu khí (PETECHIM);  - Ngày 23/09/1994: Đổi tên thành Công ty Thương mại Kỹ thuật và Đầu tư (PETEC);  - Ngày 31/03/2010: Được chuyển giao từ Bộ Công Thương về Tập đoàn Dầu khí Việt Nam;  - Ngày 30/07/2010: Đổi tên thành Công ty TNHH MTV Thương mại Kỹ thuật và Đầu tư (PETEC) và là một đơn vị thành viên của Tập đoàn Dầu khí Việt Nam;  - Ngày 07/05/2010: Tập đoàn Dầu khí Việt Nam ban hành Quyết định số 1020/QĐ-DKVN về việc thực hiện cổ phần hóa Công ty TNHH MTV Thương mại Kỹ thuật và Đầu tư PETEC;  - Ngày 29/12/2010: Bán cổ phần lần đầu ra công chúng (IPO);  - Ngày 19/05/2011: Chuyển đổi thành Tổng công ty Thương mại Kỹ thuật và Đầu tư – CTCP (PETEC) hoạt động dưới hình thức công ty cổ phần;  - Ngày 09/01/2017: Trở thành công ty đại chúng theo công văn số 119/UBCK-GSĐC của Ủy ban Chứng khoán Nhà nước (SSC);  - Ngày 05/11/2018: Giao dịch trên thị trường UPCOM;,"Tổng Công ty Thương mại Kỹ thuật và Đầu tư (PEG) có tiền thân là Công ty Nhập khẩu Thiết bị và Kỹ thuật dầu khí (PETECHIM) được thành lập vào năm 1981. Tổng Công ty hoạt động trong lĩnh vực kinh doanh, phân phối, bán lẻ xăng dầu và các sản phẩm dầu khí liên quan. Ngoài ra, PEG còn cho thuê kho xăng dầu, các kho hàng hóa. PEG chính thức hoạt động dưới hình thức công ty cổ phần từ năm 2011. Tổng Công ty sở hữu hệ thống phân phối trải rộng khắp cả nước, được hỗ trợ bởi hạ tầng kỹ thuật gồm 4 kho xăng dầu với tổng sức chứa 140.000m3 tại Hải Phòng, Đà Nẵng, Cái Mép (Vũng Tàu) và Vĩnh Long và hệ thống 42 cửa hàng xăng dầu, nhiều mặt bằng kho bãi, trụ sở làm việc tại Thành phố Hồ Chí Minh, Hà Nội, Hải Phòng, Đà Nẵng và một số địa phương khác. Ngày 05/11/2008, PEG chính thức giao dịch trên thị trường UPCOM.",Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,231898919,2600000000000
EIN,73178,45407161, - Ngày 30/07/2007: Công ty Cổ phần Đầu tư  - Thương Mại  - Dịch vụ Điện lực được thành lập với vốn thực góp là 275.131.250.000 đồng;  - Năm 2009: Tăng vốn điều lệ thực góp lên 304.071.610.000 đồng;  - Ngày 19/01/2017: Được Trung tâm Lưu ký Chứng khoán Việt Nam (VSD) cấp giấy chứng nhận đăng ký chứng khoán lần đầu số 25/2017/GCNCP-VSD với 30.407.161 cổ phiếu được đăng ký;  - Ngày 16/03/2017: Chính thức được giao dịch trên thị trường UPCOM;,"Công ty cổ phần đầu tư thương mại dịch vụ Điện lực (EIN) được thành lập vào năm 2007. Các hoạt động của Công ty bao gồm Đầu tư, phát triển và kinh doanh bất động sản; Kinh doanh du lịch trong và ngoài nước; Kinh doanh khách sạn, khu nghỉ dưỡng và nhà hàng. Công ty có thị trường rộng bao trùm các Tp Hồ Chí Minh, TP Vũng Tàu, TP Cần Thơ, Ninh Thuận và các tỉnh phía Nam khác. Một số dự án tiểu biểu của công ty như: Khu chung tư cao tầng An Dương Vương – Tòa nhà Peridot, Khu khách sạn du lịch nghỉ dưỡng Điện lực tại Ninh Thuận, Công viên nước Cần Thơ, Khu dân cư Hoàng Tâm 1 – Cà Mau…PIST hiện đang quản lý kinh doanh Khách sạn Du lịch Điện lực và Khách sạn Du lịch Điện lực Vũng Tàu. Bên cạnh đó, Công ty còn cung cấp dịch vụ lữ hành và kinh doanh thương mại xuất nhập khẩu. Năm 2017, EIN chính thức được giao dịch trên thị trường UPCOM.",Du lịch & Giải trí,Du lịch và Giải trí,Khách sạn,45407161,841000000000
SJE,74226,40000000," - Năm 1961: Công ty Cổ phần Sông Đà 11 tiền thân là Đội điện,nước thuộc Công ty Xây dựng Thủy điện Thác Bà được thành lập.  - Năm 1973: Nâng cấp thành Công trường Cơ điện.  - Năm 1976: Đổi tên thành Xí nghiệp Lắp máy Điện nước.  - Năm 1989: Chuyển thành Công ty Lắp máy Điện nước.  - Năm 1993: Đổi tên thành Công ty Xây lắp Năng lượng.  - Năm 2002: Đổi tên thành Công ty Sông Đà 11.  - Ngày 17/8/2004: Công ty được cổ phần hóa và đổi tên thành Công ty Cổ phần Sông Đà 11.  - Ngày 14/12/2006: Cổ phiếu của công ty được niêm yết trên HNX.  - Ngày 06/10/2020: Tăng vốn điều lệ lên 219,71 tỷ đồng.  - Ngày 09/10/2023: Tăng vốn điều lệ lên 241 tỷ đồng;","Công ty Cổ phần Sông Đà 11 (SJE) tiền thân là Đội điện, nước thuộc Công ty Xây dựng Thủy điện Thác Bà được thành lập năm 1961. Công ty được cổ phần hóa năm 2004. Công ty chuyên hoạt động trong lĩnh vực xây lắp đường dây tải điện, trạm biến áp đến cấp điện áp 500KV cho các công trình thuỷ điện, thuỷ lợi, giao thông. Hiện nay, công ty đang tham gia thi công xây lắp đường dây tải điện cho nhiều công trình quan trọng của ngành Điện lực Việt Nam như thủy điện Lai Châu, thủy điện Xêkaman, nhà máy nhiệt điện Mông Dương. Năm 2006, SJE chính thức được niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX).",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,40000000,400000000000
EME,69772,3780298, - Ngày 27/12/1999: Công ty Cổ phần Điện cơ được thành lập với vốn điều lệ 25 tỷ đồng theo Giấy chứng nhận số 0301900678 cấp lần đầu bởi Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh;  - Ngày 10/12/2007: Trở thành công ty đại chúng;  - Ngày 01/06/2010: Tăng vốn điều lệ lên 37.802.980.000 đồng;  - Ngày 17/07/2017: Giao dịch trên thị trường UPCOM;,"Công ty Cổ phần Điện cơ (EME) được thành lập vào năm 1999 theo Giấy chứng nhận số 0301900678 cấp lần đầu bởi Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh. Công ty hoạt động chính trong lĩnh vực sản xuất các loại trụ điện, các sản phẩm bê tông và các thiết bị cơ điện. EME có năng lực sản xuất trụ bê tông ly tâm các loại trên 60.000 sản phẩm/năm và các phụ kiện bê công cốt thép khác dùng cho thi công lưới điện khoảng 120.000 sản phẩm/năm. Công ty đã tham gia thi công lắp đặt điện cho một số dự án lớn như nguồn điện cao ốc tòa nhà Bitexco, nguồn điện cao ốc tòa nhà Everich, nguồn điện cao ốc tòa nhà Vincom, hệ thống chiếu sáng cao tốc Sài Gòn  - Trung Lương. EME được giao dịch trên thị trường UPCOM từ tháng 07/2017.",Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,3780298,37802980000
BHC,68072,4500000," - 1968: Tiền thân là Nhà máy Trụ điện Biên Hòa, được thành lập năm 1968.  - 1975: Nhà máy Trụ điện Biên Hòa được Nhà nước giao cho Công ty xây dựng số 8 (nay là Tổng công ty xây dựng số 1) và được đổi tên thành Xí nghiệp trụ điện bê tông Biên Hòa. Xí nghiệp là đơn vị duy nhất phía Nam sản xuất trụ điện bê tông ly tâm 7.4 m đến 20 m cung cấp cho các tỉnh từ Bình Thuận đến tỉnh An Giang.  - 1993: Xí nghiệp trụ điện bê tông Biên Hòa được đổi tên thành Công ty Bê tông (thuộc Tổng công ty xây dựng số 1  - Bộ xây dựng).  - 2000: Chuyển thành Công ty cổ phần Bê tông Biên Hòa;  - 2009: Cổ phiếu của công ty được niêm yết trên HNX;  - 2014: HNX hủy niêm yết cổ phiếu BHC của công ty;  - 2015: Cổ phiếu BHC được chấp thuận giao dịch trên thị trường Upcom.","Công ty cổ phần Bê tông Biên Hòa (BHC) có tiền thân là Nhà máy Trụ điện Biên Hòa, được thành lập năm 1968. Công ty là thành viên liên kết của Tổng Công ty xây dựng số 1, chuyên sản xuất các loại sản phẩm bê tông công nghiệp có chất lượng cao với 40 năm kinh nghiệm trong ngành bê tông. Sản phẩm chính của nhà máy là bê tông trộn sẵn, bê tông đúc sẵn và bê tông li tâm. Hiện tại Công ty đang sở hữu 3 Nhà máy sản xuất bê tông: Nhà máy tại Khu Công nghiệp Biên Hòa 1 nằm trong vùng kinh tế trọng điểm phía Nam, Nhà máy bê tông Tân Hòa tại Bà Rịa-Vũng Tàu, Nhà máy bê tông An Hoàn tại Khu công nghiệp Nhật Chánh nằm ở cửa ngõ phía Tây thành phố Hồ Chí Minh. BHC được giao dịch trên thị trường UPCoM từ năm 2015.",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,4500000,45000000000
HTG,71023,36002708," - Năm 1962: Nhà máy Dệt Hòa Thọ được thành lập;  - Năm 1993: Đổi tên thành Công ty Dệt Hòa Thọ theo Quyết định số 241/TCLĐ ngày 24/03/1993 của Bộ Công nghiệp Nhẹ;  - Năm 1997: Đổi tên thành Công ty Dệt may Hòa Thọ theo Quyết định số 433/QĐ-TCLĐ của Tổng Công ty Dệt May Việt Nam;  - Năm 2005: Chuyển đổi thành Công ty TNHH Nhà nước MTV Dệt May Hoà Thọ theo Quyết định số 200/2005/QĐ-TTg ngày 08/08/2005 của Thủ tướng Chính phủ;  - Ngày 15/11/2006: Bộ Công nghiệp ban hành Quyết định số 3252/QĐ-BCN về việc chuyển đổi Công ty TNHH Nhà nước MTV Dệt May Hoà Thọ thành Tổng Công ty Cổ phần Dệt May Hoà Thọ;  - Ngày 15/12/2006: Đấu giá cổ phần lần đầu ra công chúng (IPO) với 900.000 cổ phần được chào bán và mức giá đầu thành công bình quân là 12.249 đồng/cổ phần;  - Ngày 01/02/2007: Chính thức hoạt động theo mô hình công ty cổ phần với vốn điều lệ 45 tỷ đồng theo Giấy chứng nhận đăng ký doanh nghiệp số 3203001300 cấp lần đầu bởi Sở Kế hoạch và Đầu tư Thành phố Đà Nẵng;  - Ngày 02/07/2007: Trở thành công ty đại chúng;  - Tháng 12/2008: Tăng vốn điều lệ lên 62 tỷ đồng;  - Tháng 10/2009: Tăng vốn điều lệ lên 96,5 tỷ đồng;  - Tháng 12/2011: Tăng vốn điều lệ lên 150 tỷ đồng;  - Tháng 06/2015: Tăng vốn điều lệ lên 157,5 tỷ đồng;  - Tháng 06/2016: Tăng vốn điều lệ lên lên 165.375.000.000 đồng;  - Tháng 02/2017: Tăng vốn điều lệ lên lên 225 tỷ đồng;  - Ngày 14/06/2017: Giao dịch trên thị trường UPCOM;  - Ngày 04/10/2021: Tăng vốn điều lệ lên 236.250.000.000 VNĐ;  - Ngày 28/06/2022: Tăng vốn điều lệ lên 300 tỷ đồng;  - Ngày 31/10/2023: Hủy đăng ký giao dịch trên sàn UPCoM;  - Ngày 09/11/2023: Chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);","Tổng Công ty Cổ phần Dệt may Hòa Thọ (HTG) có tiền thân là Nhà máy Dệt Hòa Thọ, được thành lập vào năm 1962. HTG chuyên sản xuất, chế biến, kinh doanh và xuất khẩu dệt may và các sản phẩm sợi và các sản phẩm may mặc. HTG chính thức hoạt động theo mô hình công ty cổ phần từ tháng 02/2007. Công ty có các khách hàng lớn là một số thương hiệu hàng đầu quốc tế như Snickers, Haggar Quần áo và Calvin Klein. HTG đã khẳng định vị thế của mình trong cả hai thị trường trong nước và quốc tế với 4 cửa hàng bán lẻ và 40 đại lý bán hàng trên toàn quốc. Các sản phẩm của Công ty đã được xuất khẩu sang nhiều nước như Mỹ, Châu Âu, Nhật Bản và Canada. Ngày 09/11/2023, HTG chính thức giao dịch trên Sở giao dịch Chứng khoán thành phố Hồ Chí Minh (HOSE).",Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,36002708,360027080000
BVN,68371,5000000," - 1978: Công ty Cổ phần Bông Việt Nam, tiền thân là Công ty Bông Trung Ương được thành lập.  - 1993: Công ty Bông Việt Nam được thành lập trên cơ sở của Công ty Bông Trung ương.  - 2005: Công ty Bông Việt Nam chuyển sang hoạt động theo hình thức Công ty TNHH Một Thành viên Bông Việt Nam.  - 2007: Chính thức đi vào hoạt động theo mô hình công ty cổ phần;  - 2011: Cổ phiếu của Công ty được niêm yết và giao dịch trên sàn UPCOM.","Công ty Cổ phần Bông Việt Nam (BVN) có tiền thân là Công ty Bông Trung ương được thành lập vào năm 1978. Từ năm 2007, Công ty chuyển sang hoạt động theo mô hình cổ phần. Cùng với hoạt động sản xuất trong nước Công ty nhập nhiều bông xơ nước ngoài cung cấp đa dạng xơ bông cho ngành dệt trong nước. Công ty Bông Việt Nam hoạt động trong lĩnh vực trồng và chế biến các sản phẩm từ bông. Từ năm 2013, Công ty tổ chức sản xuất nấm linh chi đỏ nhằm đa dạng mặt hàng. Kinh doanh bông hiện là mặt hàng chủ lực của công ty. Bên cạnh đó, Công ty sở hữu khu trồng bông với tổng diện tích 650ha. BVH được giao dịch trên thị trường UPCOM từ tháng 10/2011.",Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,5000000,50000000000
LAW,71681,12200000," - Năm 1956: Xí nghiệp cấp nước được thành lập, là tiền thân của Công ty Cấp nước Long An.  - Ngày 21/11/1992: Xí nghiệp được đổi tên thành Công ty Cấp nước Long An theo quyết định số 1186.UB.QĐ.92 của UBND tỉnh Long An.  - Năm 2007: Căn cứ vào quyết định số 1214/QĐ-UBND ngày 08/05/2007 của UBND tỉnh Long An về phê duyệt phương án chuyển đổi công ty thành công ty TNHH MTV Cấp nước Long An.  - Ngày 24/04/2013: UBND tỉnh Long An ra quyết định số 1429/QĐ-UBND chuyển đổi loại hình hoạt động của công ty TNHH MTV Cấp thoát nước Long An.  - Ngày 26/06/2013: Công ty đã đấu giá 3.199.900 cổ phiếu tại Sở giao dịch chứng khoán thành phố Hồ Chí Minh.  - Ngày 01/10/2013: Công ty chính thức đi vào hoạt động dưới hình thức Công ty cổ phần với mức vốn điều lệ đăng ký là 135 tỷ đồng (Vốn điều lệ thực góp là 113.51 tỷ đồng).  - Ngày 23/04/2015: Sở Kế hoạch và Đầu tư tỉnh Long An cấp giấy chứng nhận đăng ký kinh doanh thay đổi lần thứ 4 cho công ty với mức vốn điều lệ 122 tỷ đồng.  - Ngày 15/05/2015: Công ty được Ủy ban chứng khoán Nhà nước chấp thuận trở thành Công ty đại chúng.  - Ngày 26/11/2015: Cổ phiếu của công ty được chấp thuận niêm yết lần đầu trên sàn UPCoM với mã chứng khoán LAW.  - Ngày 21/12/2015: Ngày giao dịch đầu tiên của 12.200.000 cổ phiếu LAW trên UPCoM với giá đóng cửa cuối phiên là 11.800 đồng/ cổ phiếu.","Công ty Cổ phần Cấp thoát nước Long An (LAW), trước đó là xí nghiệp Cấp nước được thành lập năm 1956. LAW chính thức đi vào hoạt động dưới hình thức Công ty cổ phần từ năm 2013. Công ty hiện đang điều hành 3 nhà máy cấp nước chính là nhà máy cấp nước thành phố Long An, nhà máy nước Gò Đen và nhà máy nước ngầm Bình Ảnh với tổng công suất hiện tại là 37.200m3/ ngày đêm. Lĩnh vực kinh doanh chính của công ty là khai thác và cung cấp nước sạch song song với việc sản xuất nước uống đóng chai để phục vụ cho tỉnh Long An. LAW được giao dịch trên thị trường UPCOM từ tháng 12/2015.",Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,12200000,122000000000
HLT,70393,5500000, - Ngày 19/05/1990: Công ty Dệt Kim Hoàng Thị Loan trực thuộc Sở Công nghiệp Nghệ An được thành lập;  - Tháng 07/2000: Công ty Dệt Kim Hoàng Thị Loan trở thành thành viên của Tổng Công ty Dệt may Viêt Nam (nay là Tập đoàn Dệt may Việt Nam);  - Ngày 24/9/2004: Công ty Dệt may Hoàng Thị Loan được thành lập trên cơ sở sáp nhập Nhà máy Sợi Vinh thuộc Công ty Dệt may Hà Nội vào Công ty Dệt Kim Hoàng Thị Loan;  - Ngày 16/11/2005: Chuyển đổi thành Công ty Cổ phần Dệt may Hoàng Thị Loan theo Quyết định số 3795/QĐ-BCN của Bộ Công nghiệp;  - Ngày 18/01/2006: Chính thức hoạt động là Công ty Cổ phần với số vốn điều lệ ban đầu là 16 tỷ đồng.  - Năm 2012: Chấp thuận trở thành công ty đại chúng.  - Ngày 11/01/2013: Tăng vốn điều lệ lên 33.6 tỷ đồng.  - Ngày 27/12/2019: Giao dịch trên thị trường UPCOM.,"Công ty Cổ phần Dệt may Hoàng Thị Loan (HLT), có tiền thân là Công ty Dệt Kim Hoàng Thị Loan, được thành lập vào năm 1990. Năm 2006, Công ty chuyển đổi mô hình kinh doanh hoạt động là Công ty Cổ phần. Công ty chuyên sản xuất và kinh doanh sợi và các sản phẩm dệt may. Là thành viên của Tập đoàn Dệt may Việt Nam, HLT có nhiều điều kiện thuận lợi để tham gia vào chuỗi cung ứng dệt - nhuộm-may của Tâp đoàn. HLT đầu tư sử dụng những dây chuyền kéo sợi hiện đại của các hãng nổi tiếng trên thế giới như: Marzoli, Toyoda, Schlafhorst, Trueztchler...Tổng sản lượng toàn hệ thống đạt khoảng 1.100 tấn sợi nồi cọc/tháng, 300 tấn sợi OE/tháng và 200 tấn sợi SE/tháng bằng nguyên liệu nhập khẩu từ Mỹ, Úc, Brazin, Cameron, Tây Phi, Đài Loan...Ngày 27/12/2019, HLT chính thức giao dịch trên thị trường UPCOM.",Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,5500000,55000000000
